PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
Kepler-937 b,,0.332,
Kepler-79 b,,0.33171,
CoRoT-24 b,,0.33,1070
EPIC 211916756 b,,0.33,
Kepler-279 b,,0.32989,
Kepler-1627 b,,0.329,
Kepler-258 c,,0.32898,
Kepler-160 c,,0.32898,
Kepler-119 b,,0.32807,
Kepler-148 c,,0.32807,
Kepler-28 b,,0.32806906,680
Kepler-29 b,0.014184,0.328069,
Kepler-1016 c,,0.328,
Kepler-698 b,,0.328,
Kepler-582 b,,0.328,
Kepler-278 c,,0.32716,
Kepler-219 c,,0.32625,
Kepler-104 d,,0.32625,
KOI-285 b,,0.326,934
Kepler-1128 b,,0.326,
Kepler-967 c,,0.326,
Kepler-608 b,,0.325,
Kepler-1635 b,,0.325,
Kepler-565 b,,0.325,
Kepler-1068 b,,0.324,
WASP-47 d,0.0328,0.324,
Kepler-391 c,,0.3226,
Kepler-559 b,,0.322,
Kepler-869 b,,0.322,
Kepler-359 b,,0.32169,
Kepler-1143 c,,0.321,
JS 183 b,1.67,0.32,
K2-105 b,0.094,0.32,
Kepler-234 c,,0.31987,
Kepler-94 b,0.034099,0.319867,
EPIC 201445392 b,,0.319,
Kepler-729 b,,0.319,
KOI-2672.02,,0.318956,525
Kepler-734 b,,0.318,
Kepler-1015 b,,0.317,
Kepler-1562 b,,0.317,
Kepler-812 b,,0.317,
Kepler-802 b,,0.316,
Kepler-1316 b,,0.316,
Kepler-1524 b,,0.316,
Kepler-1038 b,,0.315,
Kepler-953 b,,0.315,
Kepler-107 e,,0.3144,
Kepler-687 b,,0.314,
Kepler-657 b,,0.314,
Kepler-24 b,,0.31258,
Kepler-357 d,,0.31258,
Kepler-182 c,,0.31258,
Kepler-116 b,,0.31167,
Kepler-95 b,0.040894,0.311666,
Kepler-159 c,,0.31075,
EPIC 211990866 b,,0.31,
EPIC 205071984 c,,0.31,
Kepler-28 c,,0.30984,595
Kepler-276 c,,0.30984,
Kepler-1533 b,,0.309,
