PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
HD 222155 b,1.9,,145.2
HD 190984 b,3.1,,136.2
MOA-2013-BLG-605L b,0.066,,
HD 212301 b,0.45,,1541.3
GJ 273 b,0.00909,,
GJ 273 c,0.00371,,
HD 177830 A b,1.49,,
HD 177830 A c,0.15,,
2M 044144 b,9.8,,1800
Gliese 581 b,0.049702,,419.2
Gliese 581 c,0.017301,,312.7
Gliese 581 d,0.019,,181
Gliese 581 e,0.0061,,500.8
Gliese 581 f,0.0220199,,
Gliese 581 g,0.0097516,,230.9
MOA-2010-BLG-328L b,0.02894,,
HD 16141 A b,0.215,,410.3
HD 8574 b,2.11,,355.7
Gliese 317 b,1.8,,
Gliese 317 c,2,,
HD 222582 A b,7.75,,
HD 30177 b,7.7,,153.5
HD 63765 b,0.64,,222.6
HD 73526 b,2.35,,369.5
HD 73526 c,2.19,,293.3
HD 2638 b,0.48,,978.2
Gliese 504 b,4,,510
HD 134606 b,0.0292,,817
HD 134606 c,0.0382,,478.2
HD 134606 d,0.121,,239.9
Gliese 176 b,0.0264,,
V391 Peg b,3.2,,475.2
HD 7199 b,0.29,,199.1
mu Arae b,1.676,,228.7
mu Arae c,0.03321,,928.2
mu Arae d,0.5219,,292.1
mu Arae e,1.814,,122.5
OGLE-2015-BLG-0966L b,0.066,,
eps Tau b,7.6,,
WASP-47 c,1.24,,
Kepler-19 c,,,
HD 224693 b,0.71,,718.9
KIC 10001893 b,,,
KIC 10001893 c,,,
KIC 10001893 d,,,
HD 117207 b,2.06,,128.4
HD 109246 b,0.77,,452.6
HD 156846 b,263,,
HD 28254 b,1.16,,196.8
WISE 0855-0714,6,,
HD 157172 b,0.12,,347.9
HD 181342 b,3.3,,354.7
HD 47186 b,0.07167,,1123.6
HD 47186 c,0.35061,,161.7
HD 164509 b,0.48,,286.2
HD 27442 A b,1.35,,
HD 38801 b,10.7,,280.9
HD 114613 b,0.48,,
HD 185269 b,0.94,,
HIP 14810 b,3.88,,918.2
HIP 14810 c,1.28,,327
HIP 14810 d,0.57,,175.6
Gliese 649 b,0.328,,102.2
GJ 649.02,0.03,,
KOI-142 c,0.76,,
HD 8535 b,0.68,,188.3
HD 17092 b,4.6,,513.6
HD 154088 b,0.0193,,643.6
HD 86081 b,1.5,,1486.6
Gliese 3021 A b,3.37,,
Gliese 676 A d,0.014,,
Gliese 676 A e,0.036,,
Gliese 676 A b,4.95,,
Gliese 676 A c,3,,
HD 2039 b,4.9,,188.3
HD 59686 b,5.25,,728.2
HIP 57050 b,0.298,,218.6
Fomalhaut b,,,
HD 30562 b,1.373,,208.7
HD 132563 B b,1.49,,158.5
HD 34445 b,0.79,,
Omega Serpentis b,1.7,,
HIP 57274 b,0.036,,636.3
HIP 57274 c,0.41,,399.8
HIP 57274 d,0.527,,167.1
HD 142415 b,1.62,,250.5
HD 564 b,0.33,,
GJ 3323 b,0.00636,,
GJ 3323 c,0.00727,,
Gliese 777 A b,1.495,,
Gliese 777 A c,0.064,,
HD 95089 b,1.2,,396.7
HD 148156 b,0.85,,191.9
HD 219828 b,0.066,,1485.2
HD 7449 b,1.09,,
HD 7449 c,2,,
HD 175370 b,4.6,,
HD 39194 b,0.0117,,881.3
HD 39194 c,0.0187,,651.2
HD 39194 d,0.0162,,484.1
HD 196885 A b,2.98,,228.4
HD 204313 b,3.55,,153.8
HD 204313 c,0.054,,585.7
HD 204313 d,1.68,,135.1
HD 159868 b,2.1,,224.9
HD 159868 c,0.73,,336.8
HD 1690 b,6.1,,674.4
HD 32518 b,3.04,,
HAT-P-44 c,1.6,,
HD 200964 b,1.85,,
HD 200964 c,0.895,,
WD 0806-661 B,8,,340
HD 197037 b,0.79,,
TYC 1422-614-1 b,2.5,,
TYC 1422-614-1 c,10,,
HD 24040 b,4.1,,
OGLE-2007-BLG-368L b,0.0694,,
Gliese 3341 b,0.02,,
HD 10697 b,6.38,,221.8
OGLE-05-169L b,0.0444,,
HD 10647 b,0.94,,195.9
MOA-bin-1 b,3.7,,
HD 213240 A b,4.5,,
HD 106252 b,7.56,,158.8
HD 106270 b,11,,187.6
HD 37605 b,2.813,,413.9
HD 37605 c,3.379,,116.7
HD 196050 A b,2.83,,186.7
HD 145934 b,2.28,,
HD 40979 A b,3.28,,
HD 134987 b,1.59,,313.3
HD 134987 c,0.82,,117.4
HD 220773 b,1.45,,145.8
HD 145457 b,2.9,,756.4
BD-11 4672 b,0.53,,
HD 126525 b,0.224,,185
HD 158038 b,1.8,,381.6
PSR 1257+12 A,6.29E-05,,
PSR 1257+12 B,0.0135,,
PSR 1257+12 C,0.0123,,
75 Cet b,3,,
HD 189567 b,0.0316,,769.4
Kepler-68 d,0.947,,
HD 216536 b,1.47,,
HD 4313 b,2.3,,450.4
HD 18742 b,2.7,,354.4
HD 8673 b,14.2,,194.3
Gliese 849 b,0.911,,
Gliese 849 c,0.944,,
tau Ceti b,0.006291401,,
tau Ceti c,0.009751672,,
tau Ceti d,0.011324522,,
tau Ceti e,0.013526513,,
tau Ceti f,0.020761624,,
HD 96700 b,0.0284,,1001.4
HD 96700 c,0.04,,425.4
Gamma Cephei b,1.85,,
HD 152079 b,3,,149.6
HD 47536 b,4,,
HD 47536 c,7,,
HD 20367 b,1.07,,261.6
HD 52265 b,1.05,,426
HD 167042 b,1.7,,
HD 116029 b,2.1,,355
eps Coronae Borealis b,6.7,,
HD 108863 b,2.6,,436.8
HD 224538 b,5.97,,
MOA-2013-BLG-220L b,0.188780165,,
V830 Tau b,1.4,,
HD 156668 b,0.0131,,811.5
HD 95086 b,5,,1000
OGLE-2012-BLG-0724L b,0.47,,
HD 207832 b,0.56,,316.5
HD 207832 c,0.73,,164.4
Gliese 674 b,0.037,,519.6
HD 51608 b,0.0413,,701.2
HD 51608 c,0.0565,,367.1
81 Cet b,5.3,,
4 UMa b,7.1,,877.3
HD 30856 b,1.8,,317.2
HD 195019 A b,3.7,,
xi Aql b,2.8,,
HD 208487 b,0.413,,391.5
HD 28678 b,1.7,,499.6
HD 148427 b,0.96,,413.8
HD 85512 b,0.011,,297.4
NSVS 14256825 c,2.8,,
NSVS 14256825 d,8,,
Gliese 785 b,0.05316,,331.7
Gliese 785 c,0.0754,,171.8
HD 219415 b,1,,
OGLE-2008-BLG-355L b,4.6,,
2M1207 b,5,,1230
GJ 536,0.0169,,
HD 222076,1.56,,
FL Lyr b,,,
eta Cet b,2.46,,
eta Cet c,3.16,,
HD 108874 b,1.36,,256.8
HD 108874 c,1.018,,160.2
